Aardvark,Alice,27,aardvar@animals.com
Badger,Bob,44,badger@animals.com
Catfish,Cynthia,32,catfish@animals.com
Dingo,Drew,61,dingo@animals.com
Elephant,Emily,24,elephan@animals.com
Frog,Ferdinand,41,frog@animals.com
Gerbil,Greta,33,gerbil@animals.com
Heron,Harold,19,heron@animals.com
Iguana,Isabella,29,iguana@animals.com
Jaguar,John,61,jaguar@animals.com
Kangaroo,Kate,63,kangaro@animals.com
Lemur,Leonard,54,lemur@animals.com
Millipede,Marsha,47,millipe@animals.com
Newt,Norman,21,newt@animals.com
Octopus,Olivia,42,octopus@animals.com
Pelican,Peter,29,pelican@animals.com
Quail,Quinlan,30,quail@animals.com
Raccoon,Rocky,50,raccoon@animals.com
Salamander,Stacy,36,salaman@animals.com
Termite,Terrence,20,termite@animals.com
Uakari,Ursula,27,uakari@animals.com
Vulture,Vincent,61,vulture@animals.com
Warthog,Wanda,50,warthog@animals.com
Xenops,Xavier,21,xenops@animals.com
Yak,Yolanda,44,yak@animals.com
Zebra,Zackery,49,zebra@animals.com
